[0.000s] Experiment Started
[5.223s] Block 1 Started
[628.817s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[630.835s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[633.850s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[635.867s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[638.883s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[640.916s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[643.933s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[645.966s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[648.983s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[651.016s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[654.032s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[656.049s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[659.065s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[661.099s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[664.115s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[666.148s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[669.165s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[671.198s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[674.214s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[676.248s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[679.264s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[681.282s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[684.297s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[686.314s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[689.330s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[691.363s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[694.380s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[696.413s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[699.430s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[701.463s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[704.479s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[706.512s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[709.529s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[711.562s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[714.579s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[716.597s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[719.598s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[721.629s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[724.645s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[726.678s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[729.694s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[730.711s] Block 3 Ended
[790.727s] Block 4 Started
[791.743s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[794.758s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[796.790s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[799.790s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[801.823s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[804.840s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[806.873s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[809.889s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[811.907s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[814.908s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[816.939s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[819.955s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[821.973s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[824.988s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[826.990s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[830.005s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[832.038s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[835.054s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[837.072s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[840.087s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[842.120s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[845.137s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[847.170s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[850.187s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[852.203s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[855.204s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[857.236s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[860.253s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[862.272s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[865.286s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[867.303s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[870.319s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[872.352s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[875.368s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[877.385s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[880.401s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[882.435s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[885.435s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[887.468s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[890.484s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[892.517s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[895.534s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[897.567s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[900.583s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[902.617s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[905.638s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[907.669s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[910.683s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[912.716s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[915.718s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[917.749s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
